"","Date","Market","Volume"
"1",2018-02-20,0.458753558357056,0.108180497317138
"2",2018-02-19,0.38187561726602,0.12368374096685
"3",2018-02-18,0.4255272178005,0.0092559360701495
"4",2018-02-17,0.398874397257886,0.0135125093995743
"5",2018-02-16,0.414297333410794,0.0067845171486471
"6",2018-02-15,0.413841282751409,0.0118736697212628
"7",2018-02-14,0.382535002614303,0.0243589808949669
"8",2018-02-13,0.408040434555278,0.0181056193522897
"9",2018-02-12,0.3460436879103,0.078992747989447
"10",2018-02-11,0.372696508452914,0.0380008539274289
"11",2018-02-10,0.304072503340498,0.0786371573138247
"12",2018-02-09,0.292858595247778,0.0155412243025197
"13",2018-02-08,0.291403299831523,0.016567594091332
"14",2018-02-07,0.282410097019694,0.0163769898420872
"15",2018-02-06,0.25145384302562,0.0287305157976574
"16",2018-02-05,0.294356009992448,0.0126195179770842
"17",2018-02-04,0.376369604368791,0.0124797032920814
"18",2018-02-03,0.338395398826468,0.0344921680835065
"19",2018-02-02,0.356871260094115,0.0393075540714495
"20",2018-02-01,0.40738250159763,0.0294696728310881
"21",2018-01-31,0.422485911810841,0.0210967232128064
"22",2018-01-30,0.505986754197409,0.083372630988644
"23",2018-01-29,0.557514669145413,0.0155509743694319
"24",2018-01-28,0.54364579097194,0.0416452759969921
"25",2018-01-27,0.499882356358566,0.16171346273945
"26",2018-01-26,0.523055248939755,0.0143852359771096
"27",2018-01-25,0.543285598094464,0.0248887345305311
"28",2018-01-24,0.510172544007436,0.0342684900778731
"29",2018-01-23,0.516339394643583,0.0217760416002855
"30",2018-01-22,0.514513739615407,0.0464802895706147
"31",2018-01-21,0.651552605588799,0.184485285683333
"32",2018-01-20,0.637811537791204,0.054121792992697
"33",2018-01-19,0.61719485272759,0.0839544487070009
"34",2018-01-18,0.543708243769244,0.0973987076381897
"35",2018-01-17,0.54121884622088,0.0478929659321191
"36",2018-01-16,0.735677975948411,0.0997546551790061
"37",2018-01-15,0.855776157555336,0.207748435528479
"38",2018-01-14,1,0.0681262028268821
"39",2018-01-13,0.799281066635682,0.105228712353908
"40",2018-01-12,0.793387265438912,0.0661398656657448
"41",2018-01-11,0.913990878986812,0.121691668472235
"42",2018-01-10,0.885624237494917,0.430964428187252
"43",2018-01-09,0.894405391274037,0.155122927314207
"44",2018-01-08,0.769204961366409,0.872382457526669
"45",2018-01-07,0.608544414105618,0.252645900511082
"46",2018-01-06,0.596711787602394,0.127102636978881
"47",2018-01-05,0.679473363155754,0.189459094327118
"48",2018-01-04,0.7191091035845,0.125528606568869
"49",2018-01-03,0.71025242549236,0.125120123373396
"50",2018-01-02,0.771418404694126,0.283245179133582
"51",2018-01-01,0.6367527450183,0.203009138298008
"52",2017-12-31,0.526979608435485,0.112954843807752
"53",2017-12-30,0.623040725033405,0.0624763258179223
"54",2017-12-29,0.691902922209958,0.172156230483935
"55",2017-12-28,0.646672573055249,0.169191700335198
"56",2017-12-27,0.605121129378958,0.261833904742484
"57",2017-12-26,0.64560942311044,0.195367762327781
"58",2017-12-25,0.52300151048626,0.72639910273894
"59",2017-12-24,0.48186399814094,0.106812301653051
"60",2017-12-23,0.438964735955383,0.0953575661793757
"61",2017-12-22,0.565377912043223,0.0902327270873428
"62",2017-12-21,0.515055481322256,0.259716292170633
"63",2017-12-20,0.517367687213153,0.110379041816954
"64",2017-12-19,0.544967466449776,0.234917984731268
"65",2017-12-18,0.493230407250334,0.148784109302711
"66",2017-12-17,0.451389937837681,0.0994678885051172
"67",2017-12-16,0.448098820658804,0.0420586023629574
"68",2017-12-15,0.429062336606054,0.050481959189916
"69",2017-12-14,0.437172485911811,0.0739335466027708
"70",2017-12-13,0.448020391564515,0.048927683817438
"71",2017-12-12,0.43432580026724,0.0558118045908158
"72",2017-12-11,0.421496833788416,0.0284661806502594
"73",2017-12-10,0.430206820426422,0.0361297969691949
"74",2017-12-09,0.387136176145936,0.0955047730719721
"75",2017-12-08,0.397642769999419,0.0402181975758657
"76",2017-12-07,0.396752454540173,0.160965957609513
"77",2017-12-06,0.484890780224249,0.104427677444845
"78",2017-12-05,0.529742055423227,0.105900383630084
"79",2017-12-04,0.491375704409458,0.116568103898752
"80",2017-12-03,0.529071050949864,0.064639757331668
"81",2017-12-02,0.586684482658456,0.142660684926269
"82",2017-12-01,0.545963806425376,0.341412931265215
"83",2017-11-30,0.350059548016034,0.811906552299869
"84",2017-11-29,0.283689653169116,1
"85",2017-11-28,0.296663858711439,0.0171241763423867
"86",2017-11-27,0.287586417242782,0.0147094097704592
"87",2017-11-26,0.272236100621623,0.0488009966735066
"88",2017-11-25,0.239467263115087,0.153130854819592
"89",2017-11-24,0.233625747981177,0.0295079721135341
"90",2017-11-23,0.229483529890199,0.00910318502185799
"91",2017-11-22,0.212988729448673,0.00562954843807752
"92",2017-11-21,0.205649799570092,0.00646429436280445
"93",2017-11-20,0.211906698425609,0.00607958093830056
"94",2017-11-19,0.199102422587579,0.00490077873083443
"95",2017-11-18,0.196305118224598,0.00528262448859943
"96",2017-11-17,0.204644745250683,0.00484094008488294
"97",2017-11-16,0.221151164817289,0.00497043116962567
"98",2017-11-15,0.202567826642654,0.00344508736824664
"99",2017-11-14,0.199063208040435,0.0146844292068671
"100",2017-11-13,0.168512171033521,0.013093893781624
"101",2017-11-12,0.200196072735723,0.0110306394259568
"102",2017-11-11,0.191064892813571,0.00514128038133595
"103",2017-11-10,0.217385115900773,0.00714182842431272
"104",2017-11-09,0.203854644745251,0.00902161583461847
"105",2017-11-08,0.19168215883344,0.00890009049081709
